NAME                                                                           VERSION                             TYPE                          
@babel/plugin-transform-dynamic-import                                         7.29.7                              npm                            
@babel/plugin-transform-explicit-resource-management                           7.29.7                              npm                            
@babel/plugin-transform-exponentiation-operator                                7.29.7                              npm                            
@babel/plugin-transform-export-namespace-from                                  7.29.7                              npm                            
@babel/plugin-transform-flow-comments                                          7.29.7                              npm                            
@babel/plugin-transform-flow-strip-types                                       7.29.7                              npm                            
@babel/plugin-transform-for-of                                                 7.29.7                              npm                            
@babel/plugin-transform-function-name                                          7.29.7                              npm                            
@babel/plugin-transform-instanceof                                             7.29.7                              npm                            
@babel/plugin-transform-jscript                                                7.29.7                              npm                            
@babel/plugin-transform-json-modules                                           7.29.7                              npm                            
@babel/plugin-transform-json-strings                                           7.29.7                              npm                            
@babel/plugin-transform-literals                                               7.29.7                              npm                            
@babel/plugin-transform-logical-assignment-operators                           7.29.7                              npm                            
@babel/plugin-transform-member-expression-literals                             7.29.7                              npm                            
@babel/plugin-transform-modules-amd                                            7.29.7                              npm                            
@babel/plugin-transform-modules-commonjs                                       7.29.7                              npm                            
@babel/plugin-transform-modules-systemjs                                       7.29.8                              npm                            
@babel/plugin-transform-modules-umd                                            7.29.7                              npm                            
@babel/plugin-transform-named-capturing-groups-regex                           7.29.7                              npm                            
@babel/plugin-transform-new-target                                             7.29.7                              npm                            
@babel/plugin-transform-nullish-coalescing-operator                            7.29.7                              npm                            
@babel/plugin-transform-numeric-separator                                      7.29.7                              npm                            
@babel/plugin-transform-object-assign                                          7.29.7                              npm                            
@babel/plugin-transform-object-rest-spread                                     7.29.7                              npm                            
@babel/plugin-transform-object-set-prototype-of-to-assign                      7.29.7                              npm                            
@babel/plugin-transform-object-super                                           7.29.7                              npm                            
@babel/plugin-transform-optional-catch-binding                                 7.29.7                              npm                            
@babel/plugin-transform-optional-chaining                                      7.29.7                              npm                            
@babel/plugin-transform-parameters                                             7.29.7                              npm                            
@babel/plugin-transform-private-methods                                        7.29.7                              npm                            
@babel/plugin-transform-private-property-in-object                             7.29.7                              npm                            
@babel/plugin-transform-property-literals                                      7.29.7                              npm                            
@babel/plugin-transform-property-mutators                                      7.29.7                              npm                            
@babel/plugin-transform-proto-to-assign                                        7.29.7                              npm                            
@babel/plugin-transform-react-constant-elements                                7.29.7                              npm                            
@babel/plugin-transform-react-display-name                                     7.29.7                              npm                            
@babel/plugin-transform-react-inline-elements                                  7.29.7                              npm                            
@babel/plugin-transform-react-jsx                                              7.29.7                              npm                            
@babel/plugin-transform-react-jsx-compat                                       7.29.7                              npm                            
@babel/plugin-transform-react-jsx-development                                  7.29.7                              npm                            
@babel/plugin-transform-react-jsx-self                                         7.29.7                              npm                            
@babel/plugin-transform-react-jsx-source                                       7.29.7                              npm                            
@babel/plugin-transform-react-pure-annotations                                 7.29.7                              npm                            
@babel/plugin-transform-regenerator                                            7.29.8                              npm                            
@babel/plugin-transform-regexp-modifiers                                       7.29.7                              npm                            
@babel/plugin-transform-reserved-words                                         7.29.7                              npm                            
@babel/plugin-transform-runtime                                                7.29.7                              npm                            
@babel/plugin-transform-shorthand-properties                                   7.29.7                              npm                            
@babel/plugin-transform-spread                                                 7.29.8                              npm                            
@babel/plugin-transform-sticky-regex                                           7.29.7                              npm                            
@babel/plugin-transform-strict-mode                                            7.29.7                              npm                            
@babel/plugin-transform-template-literals                                      7.29.7                              npm                            
@babel/plugin-transform-typeof-symbol                                          7.29.7                              npm                            
@babel/plugin-transform-typescript                                             7.29.7                              npm                            
@babel/plugin-transform-unicode-escapes                                        7.29.7                              npm                            
@babel/plugin-transform-unicode-property-regex                                 7.29.7                              npm                            
@babel/plugin-transform-unicode-regex                                          7.29.7                              npm                            
@babel/plugin-transform-unicode-sets-regex                                     7.29.7                              npm                            
@babel/preset-env                                                              7.29.7                              npm                            
@babel/preset-flow                                                             7.29.7                              npm                            
@babel/preset-react                                                            7.29.7                              npm                            
@babel/preset-typescript                                                       7.29.7                              npm                            
@babel/register                                                                7.29.7                              npm                            
@babel/runtime                                                                 7.29.7                              npm                            
@babel/runtime                                                                 UNKNOWN                             npm                            
@babel/runtime-corejs2                                                         7.29.7                              npm                            
@babel/runtime-corejs3                                                         7.29.7                              npm                            
@babel/standalone                                                              7.29.8                              npm                            
@babel/template                                                                7.29.7                              npm                            
@babel/test-esm                                                                UNKNOWN                             npm                            
@babel/traverse                                                                7.29.8                              npm                            
@babel/types                                                                   7.29.8                              npm                            
@mikespub/epubjs-reader                                                        2026.1.24                           npm                            
@mikespub/web-comic-reader                                                     2026.1.24                           npm                            
acl-libs                                                                       2.3.2-r1                            apk                            
alpine-baselayout                                                              3.7.2-r1                            apk                            
alpine-baselayout-data                                                         3.7.2-r1                            apk                            
alpine-keys                                                                    2.6-r0                              apk                            
alpine-release                                                                 3.24.1-r0                           apk                            
aom-libs                                                                       3.14.1-r0                           apk                            
apache2-utils                                                                  2.4.68-r0                           apk                            
apk-tools                                                                      3.0.8-r0                            apk                            
apr                                                                            1.7.6-r0                            apk                            
apr-util                                                                       1.6.4-r0                            apk                            
argon2-libs                                                                    20190702-r5                         apk                            
babel                                                                          7.29.8                              npm                            
babel-plugin-dual                                                              UNKNOWN                             npm                            
balanced-match                                                                 4.0.4                               npm                            
bash                                                                           5.3.9-r1                            apk                            
bootstrap                                                                      3.4.1                               npm                            
brace-expansion                                                                5.0.12                              npm                            
brotli-libs                                                                    1.2.0-r1                            apk                            
busybox                                                                        1.37.0-r31                          apk                            
busybox-binsh                                                                  1.37.0-r31                          apk                            
c-ares                                                                         1.34.8-r0                           apk                            
ca-certificates                                                                20260611-r0                         apk                            
ca-certificates-bundle                                                         20260611-r0                         apk                            
catatonit                                                                      0.2.1-r0                            apk                            
composer                                                                       2.10.3                              binary                         
corejs-typeahead                                                               1.3.4                               npm                            
coreutils                                                                      9.11-r0                             apk                            
coreutils-env                                                                  9.11-r0                             apk                            
coreutils-fmt                                                                  9.11-r0                             apk                            
coreutils-sha512sum                                                            9.11-r0                             apk                            
corp-app                                                                       UNKNOWN                             npm                            
corp-lib                                                                       UNKNOWN                             npm           (+3 duplicates)  
